,D,P,C,O,F,G
0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,GKS98 freshwater group
1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
2,Bacteria,Chloroflexi,Dehalococcoidia,RBG-13-46-9,,
3,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Achromatium
4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,uncultured
5,Archaea,Halobacterota,Halobacteria,Halobacterales,Haloferacaceae,A07HB70
6,Bacteria,Actinobacteriota,Actinobacteria,Euzebyales,Euzebyaceae,uncultured
7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudaestuariivita
8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Candidatus Riesia
9,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,uncultured,
10,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
11,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Hyphococcus
12,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor
13,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Piscinibacter
14,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Solimonas
15,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia
16,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Fr127
17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Puniceibacterium
18,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Tuberibacillus
19,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Paludibacterium
20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Phyllobacterium
21,Bacteria,Firmicutes,Bacilli,Entomoplasmatales,type III,
22,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,uncultured
23,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Corticibacterium
24,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Thorselliaceae,Coetzeea
25,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrococcales,Nitrococcaceae,Spiribacter
26,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,uncultured
27,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas
28,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Holzapfelia
29,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Limnoluna
30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Phaeovibrio
31,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
32,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Salinicoccus
33,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,
34,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ethanoligenenaceae,Ethanoligenens
35,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Polycladomyces
36,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Fischerella PCC-9339
37,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya RV74
38,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis
39,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
40,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Pseudokineococcus
41,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Temperatibacteraceae,Temperatibacter
42,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Micropepsis
43,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,uncultured,
44,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Gloeotrichia PYH6
45,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Anaeroglobus
46,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Algisphaera
47,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum
48,Bacteria,Firmicutes,Thermovenabulia,Thermovenabulales,Caldanaerovirga,
49,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Wautersiella
50,Bacteria,Elusimicrobiota,Lineage IIa,,,
51,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Qingshengfania
52,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus
53,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus
54,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus MIT9313
55,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pseudosphingobacterium
56,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma
57,Bacteria,Patescibacteria,Microgenomatia,Candidatus Woesebacteria,,
58,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium
59,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32
60,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter
61,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix
62,Archaea,Halobacterota,Halobacteria,Halobacterales,Halomicrobiaceae,Salinirubrum
63,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidomonas
64,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,ET-SHO
65,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,Thermomicrobiaceae,
66,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Palleronia-Pseudomaribius
67,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,
68,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,
69,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Candidatus Tammella
